movie_id,meta_movie_name,meta_story_overview,meta_storyline,anno_story_id,anno_story_description,shot_id,shot_start_time,shot_end_time,shot_start_time_hms,shot_end_time_hms,annotation_subtitle,aligned_script_dialogue,aligned_speakers,aligned_script_text,shot_type,match_score,match_source,script_block_start_idx,script_block_window_len,script_start_line,script_end_line
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0003,125.5837917,135.135,0:02:06,0:02:15,"[""She isn't coming yet, Toto."", ""Did she hurt you?"", ""She tried to, didn't she?"", ""Come on. We'll go tell Uncle Henry and Auntie Em. Come on, Toto.""]","She isn't coming yet, Toto. Did she hurt you? She tried to, didn't she? Come on - - we'll go tell Uncle Henry and Auntie Em. Come on, Toto.","[""DOROTHY""]","MS -- Dorothy stoops down to Toto -- speaks to him -- then runs down road to b.g. -- Toto following -- She isn't coming yet, Toto. Did she hurt you? She tried to, didn't she? Come on - - we'll go tell Uncle Henry and Auntie Em. Come on, Toto.",MS,100,dp,2,1,12,19
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0004,135.1767083,146.521375,0:02:15,0:02:27,"[""Aunt Em! Aunt Em!""]",Aunt Em! Aunt Em!,"[""DOROTHY""]",LS -- Farm yard -- Dorothy enters left b.g. along road -- Toto following her -- CAMERA PANS right -- she comes forward thru gate -- runs forward to Aunt Em and Uncle Henry working at Incubator -- Aunt Em! Aunt Em!,LS,100,dp,3,1,20,26
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0005,146.5630833,183.43325,0:02:27,0:03:03,"[""Just listen to what Miss Gulch did to Toto--"", ""Dorothy, please. We're counting."", ""-But she hit him-- -Don't bother us now, honey."", ""The incubator's gone bad and we're likely to lose a lot of our chicks."", ""Oh, that poor little thing."", ""But Miss Gulch hit Toto with a rake..."", ""...because she says he chases her nasty old cat every day!"", ""--seventy. Dorothy, please!"", ""But he doesn't do it every day! Just once or twice a week."", ""He can't catch her old cat anyway."", ""-And now she says she's gonna-- -Dorothy. Dorothy, we're busy."", ""Oh, all right.""]","Aunt Em! Fifty-seven, fifty-eight -- Just listen to what Miss Gulch did to Toto! She -- Dorothy, please! We're trying to count! Fifty-eight-- Oh, but Aunt Em, she hit him over the -- Don't bother us now, honey -- this old incubator's gone bad, and we're likely to lose a lot of our chicks. Oh -- oh, the poor little things. Oh, but Aunt Em, Miss Gulch hit Toto right over the back with a rake just because she says he gets in her garden and chases her nasty old cat every day. Seventy -- Dorothy, please! Oh, but he doesn't do it every day -- just once or twice a week. And he can't catch her old cat, anyway. And now she says she's gonna get the sheriff, and -- Dorothy! Dorothy! We're busy! Oh -- all right.","[""DOROTHY"", ""AUNT EM"", ""UNCLE HENRY""]","MS -- Aunt Em and Uncle Henry working with baby chicks in incubator -- Dorothy runs in -- speaks to them -- Dorothy picks up baby chick -- CAMERA TRUCKS back as Aunt Em and Dorothy come forward -- Aunt Em puts chick in coop with hen -- then TRUCKS forward as they go to b.g. to incubator -- Dorothy reacts -- Uncle Henry looks at her -- CAMERA PANS her to left across yard -- Aunt Em! Fifty-seven, fifty-eight -- Just listen to what Miss Gulch did to Toto! She -- Dorothy, please! We're trying to count! Fifty-eight-- Oh, but Aunt Em, she hit him over the -- Don't bother us now, honey -- this old incubator's gone bad, and we're likely to lose a lot of our chicks. Oh -- oh, the poor little things. Oh, but Aunt Em, Miss Gulch hit Toto right over the back with a rake just because she says he gets in her garden and chases her nasty old cat every day. Seventy -- Dorothy, please! Oh, but he doesn't do it every day -- just once or twice a week. And he can't catch her old cat, anyway. And now she says she's gonna get the sheriff, and -- Dorothy! Dorothy! We're busy! Oh -- all right.",MS,69.812,dp,4,1,27,84
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0007,186.43625,188.7302083,0:03:06,0:03:09,"[""ZEKE: How's she coming? HUNK: Take it easy.""]",How's she coming? Take it easy.,"[""ZEKE"", ""HUNK""]",MLS -- Zeke -- Hunk and Hickory working on wagon -- Hickory and Zeke lowering bed of wagon into place -- How's she coming? Take it easy.,MLS,77.294,dp,6,1,104,118
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0008,188.7719167,191.7749167,0:03:09,0:03:12,"[""Ow!"", ""You got my finger!""]",Ow! You got my finger!,"[""HUNK""]",CS -- Hunk on ground -- gets finger caught under wagon bed -- reacts -- Ow! You got my finger!,CS,100,dp,7,1,119,123
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0009,191.816625,193.9854583,0:03:12,0:03:14,"[""Get your finger out of the way.""]","Well, why don't you get your finger out of the way!","[""ZEKE""]","CS -- Zeke and Hickory holding wagon bed -- Well, why don't you get your finger out of the way!",CS,82.304,dp,8,1,124,129
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0010,194.0271667,227.227,0:03:14,0:03:47,"[""HICKORY: There you are. HUNK: Right on my finger!"", ""Lucky it wasn't your head."", ""Zeke, what am l gonna do about Miss Gulch? Just because Toto--"", ""Listen, honey, I got them hogs to get in."", ""Dorothy, you ain't using your head. You'd think you didn't have any brains."", ""-l have so got brains. -Well, why don't you use them?"", ""Don't go by Miss Gulch's place."", ""Then Toto won't get in her garden, and you won't get in no trouble, see?"", ""Oh, Hunk, you just won't listen, that's all."", ""Well, your head ain't made of straw, you know.""]",,[],,,52.93,,,,,
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0011,227.2687083,240.4068333,0:03:47,0:04:00,"[""Say, get in there before I make a dime bank out of you."", ""Listen, kid..."", ""...are you gonna let that old Gulch heifer try and buffalo you?""]","Say! Get in there before I make a dime bank out of you! Listen, kid, are you going to let that old Gulch heifer try and buffalo you?","[""ZEKE""]","MLS -- Zeke driving pigs into pen -- Dorothy enters in b.g. walks along railing of pen -- Zeke goes to b.g. -- CAMERA TRUCKS forward -- Zeke pours feed into trough -- Say! Get in there before I make a dime bank out of you! Listen, kid, are you going to let that old Gulch heifer try and buffalo you?",MLS,89.774,dp,11,1,244,252
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0012,240.4485417,243.7852083,0:04:00,0:04:04,"[""She ain't nothing to be afraid of. Have a little courage.""]","She ain't nothing to be afraid of. Have a little courage, that's all.","[""ZEKE""]","MCS -- Zeke poring feed into trough -- speaks -- She ain't nothing to be afraid of. Have a little courage, that's all.",MCS,90.519,dp,12,1,253,257
tt0032138,The Wizard of Oz,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",tt0032138_0000,"Dorothy Gale  is an orphaned teenager who lives with her Auntie Em  and Uncle Henry  on a Kansas farm in the early 1900s. She daydreams about going ""over the rainbow"" after Miss Gulch , a nasty neighbor, hits Dorothy's dog Toto  on the back with a rake, causing Toto to bite her. Miss Gulch shows up with an order to take Toto to the sheriff to be euthanized, but Toto jumps out of the basket on the back of Miss Gulch's bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. She meets an itinerant phony fortune teller, Professor Marvel , who immediately guesses that Dorothy has run away. Pretending to tell her fortune and wishing to reunite Dorothy with her aunt, he tells her that Auntie Em has fallen ill from worry over her.",shot_0013,243.8269167,245.4535417,0:04:04,0:04:05,"[""DOROTHY: I'm not afraid of her.""]",I'm not afraid of her.,"[""DOROTHY""]",MLS -- Dorothy walking along railing between pig pens -- I'm not afraid of her.,MLS,84.88,dp,13,1,258,261
